Log started: Sat Feb 14 19:59:44 2015

1385 actors total parsed
Actor	Ed Num	SpawnID	Filter	Source
PistolSmokeSpawner	-1	0	0:All	:actors/misc/enhweaps.txt
PistolSmoke	-1	0	0:All	:actors/misc/enhweaps.txt
ShotSmokeSpawner	-1	0	0:All	:actors/misc/enhweaps.txt
ShotSmoke	-1	0	0:All	:actors/misc/enhweaps.txt
ChainSmokeSpawner	-1	0	0:All	:actors/misc/enhweaps.txt
ChainSmoke	-1	0	0:All	:actors/misc/enhweaps.txt
NewChaingun	-1	0	0:All	:actors/misc/enhweaps.txt
NewPuff	-1	0	0:All	:actors/misc/enhweaps.txt
Puff2	-1	0	0:All	:actors/misc/enhweaps.txt
NewPistol	-1	0	0:All	:actors/misc/enhweaps.txt
PisCaseSpawn	-1	0	0:All	:actors/misc/enhweaps.txt
PistolCasing	-1	0	0:All	:actors/misc/enhweaps.txt
NewShotgun	-1	0	0:All	:actors/misc/enhweaps.txt
NewSuperShotgun	-1	0	0:All	:actors/misc/enhweaps.txt
ShotCaseSpawn	-1	0	0:All	:actors/misc/enhweaps.txt
SShotCaseSpawn	-1	0	0:All	:actors/misc/enhweaps.txt
ShotgunCasing	-1	0	0:All	:actors/misc/enhweaps.txt
BlackTorchCheck	20023	0	0:All	:actors/misc/checkers.txt
BurningCorpse1Checker	32116	0	0:All	:actors/misc/checkers.txt
BurningCorpse2Checker	32117	0	0:All	:actors/misc/checkers.txt
FlashBeam	-1	0	0:All	:actors/misc/miscgore.txt
FlashClose	-1	0	0:All	:actors/misc/miscgore.txt
Gore_DemonArm	-1	0	1:Doom	:actors/misc/miscgore.txt
Gore_SpectreArm	-1	0	0:All	:actors/misc/miscgore.txt
Gore_NDemonArm	-1	0	1:Doom	:actors/misc/miscgore.txt
Gore_PDemonArm	-1	0	1:Doom	:actors/misc/miscgore.txt
BobFloatingSkull	-1	153	0:All	:actors/misc/miscgore.txt
BobSoulSphere	-1	0	0:All	:actors/misc/miscgore.txt
BobMegaSphere	-1	0	0:All	:actors/misc/miscgore.txt
BobBlurSphere	-1	0	0:All	:actors/misc/miscgore.txt
BobInvulnerabilitySphere	-1	0	0:All	:actors/misc/miscgore.txt
NashGore_Blood	-1	0	1:Doom	:actors/misc/nashblod.txt
NashGore_FlyingBlood	-1	0	1:Doom	:actors/misc/nashblod.txt
NashGore_BloodSpot	-1	0	1:Doom	:actors/misc/nashblod.txt
NashGore_FlyingBloodTrail	-1	0	1:Doom	:actors/misc/nashblod.txt
NashGore_CrushedSmall	-1	0	1:Doom	:actors/misc/nashbody.txt
NashGore_CrushedMedium	-1	0	1:Doom	:actors/misc/nashbody.txt
NashGore_CrushedLarge	-1	0	1:Doom	:actors/misc/nashbody.txt
NashGore_BloodyTwitch	-1	0	0:All	:actors/misc/nashbody.txt
NashGore_Meat2	-1	0	0:All	:actors/misc/nashbody.txt
NashGore_Meat3	-1	0	0:All	:actors/misc/nashbody.txt
NashGore_Meat4	-1	0	0:All	:actors/misc/nashbody.txt
NashGore_Meat5	-1	0	0:All	:actors/misc/nashbody.txt
NashGore_NonsolidMeat2	-1	0	0:All	:actors/misc/nashbody.txt
NashGore_NonsolidMeat3	-1	0	0:All	:actors/misc/nashbody.txt
NashGore_NonsolidMeat4	-1	0	0:All	:actors/misc/nashbody.txt
NashGore_NonsolidMeat5	-1	0	0:All	:actors/misc/nashbody.txt
NashGore_NonsolidTwitch	-1	0	0:All	:actors/misc/nashbody.txt
NashGore_DeadStick	-1	0	0:All	:actors/misc/nashbody.txt
NashGore_LiveStick	-1	0	0:All	:actors/misc/nashbody.txt
NashGore_HangNoGuts	-1	0	0:All	:actors/misc/nashbody.txt
NashGore_HangBNoBrain	-1	0	0:All	:actors/misc/nashbody.txt
NashGore_HangTLookingDown	-1	0	0:All	:actors/misc/nashbody.txt
NashGore_HangTLookingUp	-1	0	0:All	:actors/misc/nashbody.txt
NashGore_HangTSkull	-1	0	0:All	:actors/misc/nashbody.txt
NashGore_HangTNoBrain	-1	0	0:All	:actors/misc/nashbody.txt
NashGore_ZombieMan	-1	0	0:All	:actors/misc/nashdoom.txt
NashGore_ShotgunGuy	-1	0	0:All	:actors/misc/nashdoom.txt
NashGore_ChaingunGuy	-1	0	0:All	:actors/misc/nashdoom.txt
NashGore_DoomImp	-1	0	0:All	:actors/misc/nashdoom.txt
NashGore_Demon	-1	0	0:All	:actors/misc/nashdoom.txt
NashGore_Spectre	-1	0	0:All	:actors/misc/nashdoom.txt
NashGore_Cacodemon	-1	0	0:All	:actors/misc/nashdoom.txt
NashGore_HellKnight	-1	0	0:All	:actors/misc/nashdoom.txt
NashGore_BaronOfHell	-1	0	0:All	:actors/misc/nashdoom.txt
NashGore_Arachnotron	-1	0	0:All	:actors/misc/nashdoom.txt
NashGore_Archvile	-1	0	0:All	:actors/misc/nashdoom.txt
NashGore_LostSoul	-1	0	0:All	:actors/misc/nashdoom.txt
NashGore_SpiderMasterMind	-1	0	0:All	:actors/misc/nashdoom.txt
NashGore_PainElemental	-1	0	0:All	:actors/misc/nashdoom.txt
NashGore_Revenant	-1	0	0:All	:actors/misc/nashdoom.txt
NashGore_Fatso	-1	0	0:All	:actors/misc/nashdoom.txt
NashGore_Cyberdemon	-1	0	0:All	:actors/misc/nashdoom.txt
NashGore_WolfensteinSS	-1	0	0:All	:actors/misc/nashdoom.txt
